Latitude,Longitude,Positive,Negative,Mixed,Neutral,Count,Sentiment
33,-85,0.124097332,0.344706236,0.004301352,0.526895124,40,NEUTRAL
33,-84,0.151956302,0.13635734,0.029183141,0.682503206,40,NEUTRAL
33,-83,0.174854747,0.18153314,0.017961388,0.625650718,40,NEUTRAL
33,-82,0.089168777,0.224371396,0.022299194,0.66416063,40,NEUTRAL
33,-81,0.18520422,0.224047972,0.015725374,0.575022443,39,NEUTRAL
33,-80,0.051234481,0.190470581,0.457920627,0.300374349,40,MIXED
33,-79,0.132691948,0.315437706,0.024387788,0.527482562,341,NEUTRAL
34,-99,0.147345889,0.398997878,0.039791924,0.413864312,41,NEUTRAL
34,-98,0.147345889,0.398997878,0.039791924,0.413864312,41,NEUTRAL
34,-97,0.166520565,0.301646722,0.038495148,0.493337581,22,NEUTRAL
34,-96,0.20186835,0.267682766,0.007536998,0.522911893,19,NEUTRAL
34,-95,0.169248654,0.189965041,0.013418328,0.627367961,7,NEUTRAL
34,-94,0.005536628,0.864456803,0.014085009,0.115921577,4,NEGATIVE
34,-93,0.125770862,0.238743919,0.021144158,0.61434106,40,NEUTRAL
34,-92,0.030186818,0.225043987,0.029607739,0.715161421,20,NEUTRAL
34,-91,0.290342992,0.183274397,0.040610168,0.485772434,32,NEUTRAL
34,-90,0.006274633,0.837968178,0.001353897,0.154403243,40,NEGATIVE
34,-89,0.15061154,0.229966907,0.004456736,0.614964817,40,NEUTRAL
34,-88,0.13450546,0.185865357,0.007386687,0.6722425,38,NEUTRAL
34,-87,0.117713632,0.214809838,0.078849632,0.588626881,40,NEUTRAL
34,-86,0.129534986,0.247851706,0.035204845,0.587408457,40,NEUTRAL
34,-85,0.086764647,0.332173775,0.005867575,0.575194016,40,NEUTRAL
34,-84,0.0841574,0.314707913,0.005078411,0.59605629,40,NEUTRAL
34,-83,0.142895934,0.229245349,0.026960876,0.600897844,40,NEUTRAL
34,-82,0.083157619,0.116157672,0.013997802,0.7866869,40,NEUTRAL
34,-81,0.212908202,0.147902172,0.038637557,0.600552069,40,NEUTRAL
34,-80,0.233182068,0.157279514,0.011054655,0.598483754,40,NEUTRAL
34,-79,0.136047027,0.154241403,0.038544619,0.671166946,40,NEUTRAL
34,-78,0.138220704,0.283578138,0.02746997,0.550731187,528,NEUTRAL
35,-99,0.142271236,0.515766996,0.039236887,0.302724874,40,NEGATIVE
35,-98,0.130080106,0.394613935,0.028285817,0.447020138,40,NEUTRAL
35,-97,0.206235603,0.246293996,0.010461041,0.537009372,40,NEUTRAL
35,-96,0.349035384,0.136458233,0.005725252,0.508781133,9,NEUTRAL
35,-95,0.455071226,0.325577675,0.004676938,0.214674144,7,POSITIVE
35,-94,0.182972847,0.452116563,0.014520888,0.350389703,36,NEGATIVE
35,-93,0.055874981,0.464128236,0.022800482,0.457196293,40,NEGATIVE
35,-92,0.099526639,0.336238351,0.035021405,0.529213605,40,NEUTRAL
35,-91,0.090728152,0.331425986,0.000452166,0.57739368,3,NEUTRAL
35,-90,0.064524473,0.340931844,0.013222311,0.581321368,40,NEUTRAL
35,-89,0.121305275,0.541180926,0.016247733,0.321266067,40,NEGATIVE
35,-88,0.108322131,0.235710006,0.042722807,0.613245041,40,NEUTRAL
35,-87,0.121089821,0.209559012,0.014672434,0.654678721,40,NEUTRAL
35,-86,0.082096175,0.16464143,0.033855422,0.719406976,39,NEUTRAL
35,-85,0.053900712,0.1712636,0.041964721,0.73287097,39,NEUTRAL
35,-84,0.118234843,0.313707321,0.049843648,0.51821419,31,NEUTRAL
35,-83,0.183698192,0.122643623,0.011863176,0.681795017,40,NEUTRAL
35,-82,0.144211113,0.128288451,0.04959388,0.677906558,40,NEUTRAL
35,-81,0.194720165,0.186863559,0.014146981,0.604269297,40,NEUTRAL
35,-80,0.244539447,0.256674746,0.019061932,0.479723875,38,NEUTRAL
